Key,En,Ru
41400124,Dreamless Feather
41400094,Monument Bell,
41400144,Sentinel's Dagger,
41400114,Unending Destruction,
41400104,Wave-Cutting Tooth
43020054,Cadence Blossom
43020053,Cadence Leaf
43020052,Cadence Bud
43020051,Cadence Seed,
43020024,Flawless Phlohiston
43020023,Refined Phlohiston
43020022,Extracted Phlogiston,
43020021,Impure Phlogiston,
43020014,Heterized Metallic Drip,
43020013,Polarized Metallic Drip,
43020012,Reactive Metallic Drip,
43020011,Inert Metallic Drip,
43020034,Presto Helix
43020033,Andante Helix,
43020032,Adagio Helix,
43020031,Lento Helix,
43020044,Waveworn Residue 239,
43020043,Waveworn Residue 235,
43020042,Waveworn Residue 226,
43020041,Waveworn Residue 210,